Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/wolf/Projects/udacity/robotnd/rover/RoboND-Rover-Project/output/recording/IMG/robocam_2018_10_20_16_09_09_367.jpg;0;0;1;0;99.66999;85.58897;0.0002337415;57.06394;-2.628875E-06
/home/wolf/Projects/udacity/robotnd/rover/RoboND-Rover-Project/output/recording/IMG/robocam_2018_10_20_16_09_09_410.jpg;0;0;0;0;99.66999;85.58897;0.0002337415;57.06394;-2.628875E-06
/home/wolf/Projects/udacity/robotnd/rover/RoboND-Rover-Project/output/recording/IMG/robocam_2018_10_20_16_09_09_497.jpg;0;0;0;0;99.66999;85.58897;0.0002337415;57.06394;-2.628875E-06
/home/wolf/Projects/udacity/robotnd/rover/RoboND-Rover-Project/output/recording/IMG/robocam_2018_10_20_16_09_09_563.jpg;0;0;0;0;99.66999;85.58897;0.0002337415;57.06394;-2.628875E-06
/home/wolf/Projects/udacity/robotnd/rover/RoboND-Rover-Project/output/recording/IMG/robocam_2018_10_20_16_09_09_629.jpg;0;0;0;0;99.66999;85.58897;0.0002337415;57.06394;-2.628875E-06
/home/wolf/Projects/udacity/robotnd/rover/RoboND-Rover-Project/output/recording/IMG/robocam_2018_10_20_16_09_09_676.jpg;0;0;0;0;99.66999;85.58897;0.0002337415;57.06394;-2.628875E-06
/home/wolf/Projects/udacity/robotnd/rover/RoboND-Rover-Project/output/recording/IMG/robocam_2018_10_20_16_09_09_764.jpg;0;0;0;0;99.66999;85.58897;0.0002337415;57.06394;-2.628875E-06
/home/wolf/Projects/udacity/robotnd/rover/RoboND-Rover-Project/output/recording/IMG/robocam_2018_10_20_16_09_09_809.jpg;0;0;0;0;99.66999;85.58897;0.0002337415;57.06394;-2.628875E-06
/home/wolf/Projects/udacity/robotnd/rover/RoboND-Rover-Project/output/recording/IMG/robocam_2018_10_20_16_09_09_866.jpg;0;0;0;0;99.66999;85.58897;0.0002337415;57.06394;-2.628875E-06
/home/wolf/Projects/udacity/robotnd/rover/RoboND-Rover-Project/output/recording/IMG/robocam_2018_10_20_16_09_09_929.jpg;0;0;0;0;99.66999;85.58897;0.0002337415;57.06394;-2.628875E-06
